asins,name,reviews.numHelpful,reviews.rating,reviews.text,reviews.title
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,806,5,"IMPORTANT UPDATE (3/8/17): As you read my original review, please be aware that Amazon announced in early February (2017) a new firmware update that allows Amazon Tap owners to enable a hands-free option! By going into Settings in the Alexa app, you can now choose the hands-free option and have your Tap respond to voice commands without touching it, just like the Echo and Echo Dot! This is a fabulous development and something Tap owners have been hoping for. Thank you, Amazon!Since the lack of hands-free operation was the one major shortcoming of the Tap, this wonderful little device has now gotten a whole lot better. One thing to keep in mind, though, especially if you use your Tap on battery power: The hands-free mode will drain the battery more quickly, because it requires the microphone to be on at all times. But since you can easily toggle between hands-free or regular tap mode using the Alexa app, you can pick and choose how you want to use your Tap for maximum battery life and convenience.-------------------------I admit that I was a little skeptical when Amazon first introduced its Echo device. But I decided to buy one anyway, thinking that if I didn't like it I could easily sell it. After all, back in the early days of the Echo it was in very high demand. So the financial risk associated with trying it was minimal. Today, as an avid music listener who loves to cook, I'm thrilled that I decided to give the Echo a try.I had wanted a device that I could stream music with in the kitchen, and the Echos hands-free voice control made it very appealing. But how would it sound That question was quickly answered as soon as I set up and started using my Echo.Read more","The Echo's Little Sister Is AMAZING!! 3,"
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,426,5,"It was just a few weeks ago that I was bemoaning the fact that I did not scoop up an Echo back when they were being released last year. Not only could it be had at nearly half off the current price, but it came with a voice remote and we could have had a year longer using this amazing device...Well, here I am, a year late to the game and I can now proudly say that I own both an Echo and this new little Tap! Can I just say that I am OBSESSED with all things Echo and Alexa. These are devices that you may not realize how much you'll use it until you've given them a try.I have been spending the last few years getting our home automated. I currently use a combination of Smartthings, IFTTT and Logitech Harmony to control the home. Alexa fits right into the middle of all that and gives us the ability to control our home via voice. For me, this is the killer feature. I can integrate all three parts of our home control right into Echo/Tap and make our house even smarter with very minimal setup.Read more",Tap Alexa on the go!
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,295,5,"The Amazon Tap is a portable Bluetooth speaker that can be controlled with your voice. You can instruct it to play music, order products and services, control home automation products and connected devices, plus a whole lot more.It contains a button activated microphone for listening to your verbal commands. It also has Dolby stereo speakers for playing music. The Amazon Tap is basically the portable version of the popular Amazon Echo that was released last year.Ive been testing the Tap for several days now. Heres what I think so far: What I Like I find that the Tap understands my verbal commands accurately. This could be due to the fact that, since its button activated, Im always very close to the device when I speak to it. Nevertheless, its nice that Tap understands me the first time. This was my experience with the Amazon Echo as well.The audio is surprisingly good for such a small device. I test portable speakers all the time and Id say the Amazon Tap is as good as or better than the speakers in its price range. Don't expect Bose type sound or deep bass levels, however.No other portable speaker device offers voice control and Wi-Fi streaming. Thus the Amazon Tap offers a tremendous amount of value over similarly priced portable speakers. This is especially true if you already have Amazon Prime and Prime Music.It supports many great services. Like the Amazon Echo that came before it, the Amazon Tap supports popular music services such as Prime Music, Spotify, Pandora, iHeartRadio, and TuneIn.Battery life has been good so far. I used it off and on for a couple days without charging it. Ill post an update once I have come closer to testing the limits of the battery life.Read more","Amazon Tap Review - Best Bluetooth Speaker in its Category 2,"
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0,5,"Look at this product as a portable speaker first and an Echo replacement second. The big reason to buy this over standard Bluetooth speakers is this has WiFi streaming enabled. When you are at home you can stream music with ease to it. Voice recognition is top notch and it really shines when using it with other smart home accessories. The only problem is having to tap the microphone button for it to listen to your voice. If you want bigger sound and always listening features, spend the extra money on the Amazon Echo.",Great for what it does
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,3,5,"This Amazon tap is not only a great Bluetooth speaker, which is half of the reason I bought it for. But it also has some awesome voice control. I bought a wemo switch, plugged it into an old lamp, setup some commands with ittt, and in 5 minutes I was using my Amazon tap to control a lamp. Pretty cool. I love this Amazon tap it is light, portable, smart, has a great dock so I don't have to fuss with cables, and it has a 9 hour battery life, so I can go all day playing music.Being a Google play music subscriber The only thing missing from this speaker IMO, is a way to wirelessly stream my Google play music to this device using Alexa that is built in. You can use iHeartRadio, Pandora, Spotify, prime music, heck even Apple iTunes got some love, but no Google play music. Come on Amazon show me some love. I pay 15 dollars a month for a family plan which gives me and 5 family members access to Google play music and YouTube red. So it would be nice to use it on my tap. But alas the Amazon tap is a Bluetooth speaker so I can always use my phone as a streaming device, or hook my phone up through the aux port as well. But all in all this is a great speaker, that can do everything any Bluetooth speaker on the market can do plus a little bit extra.","Awesome, smart little portable speaker"
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0,5,"Bought this on Deal of the Day which surprised me since it is new to Best Buy. Just push the button and ask ""her"" to do something such as play favorite radio station or music from play list. Have ""her"" set timers and alarms to wake by. I haven't used half of the features of TAP. The sound is amazingly great for such a small device.",Amazing technology!
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0,5,Amazing Sound! All around great product! Nothing negative so far.,A++++++++
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0,5,I have owned the Echo for about a year now and enjoy the features it provides. Although the Tap doesn't have the hands free feature of the Echo I like its portability. I'm able to take it outdoors at home and using the WiFi play music or even use the other features available by just asking Alexa. The unit is well built and I really like the charging cradle provided.,Nice Amazon Product
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,2,4,"I really like my Tap very much. It great when it's connected. Reads me news, weather, plays music and can purchase items from Amazon That being said, I do have some connectivity problems while on wifi. I don't want to say that it's the taps fault as it may be my wifi. I don't regret my purchase. It has great sounds and recognizes my voice commands well.",I'm happy
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0,5,"I have owned three versions of the amazon echo: the original, the dot, and the tap. This is the most versatile of the three. The wireless recharging is great. The sound is not as good as the original, but the portability makes up for this. At $79 it was a fantastic buy.","great price, good product"
